Date,Open,High,Low,Close,Adj Close,Volume
2021-01-12,1.465459,1.575149,1.394045,1.473090,1.473090,13490197
2021-01-13,1.473076,1.557229,1.415564,1.542392,1.542392,6838549
2021-01-14,1.542324,1.619614,1.515110,1.580105,1.580105,10287642
2021-01-15,1.580091,1.598829,1.435536,1.534308,1.534308,907624
2021-01-16,1.528587,1.855491,1.517696,1.799825,1.799825,48980425
2021-01-17,1.799966,1.838535,1.561497,1.664653,1.664653,20112614
2021-01-18,1.664842,1.685548,1.597098,1.636440,1.636440,5679789
2021-01-19,1.636365,1.685779,1.624788,1.640065,1.640065,8661769
2021-01-20,1.639943,1.644844,1.536797,1.621860,1.621860,8145457
2021-01-21,1.621597,1.675824,1.552102,1.576091,1.576091,10727928
2021-01-22,1.575301,1.695087,1.446190,1.656473,1.656473,14448282
2021-01-23,1.656272,1.769504,1.640452,1.714137,1.714137,15887988
2021-01-24,1.714517,1.799928,1.684154,1.743800,1.743800,11904770
2021-01-25,1.743782,1.776664,1.646639,1.674669,1.674669,6697837
2021-01-26,1.674727,1.701631,1.582022,1.652992,1.652992,5794645
2021-01-27,1.652160,1.656966,1.490976,1.510407,1.510407,6087327
2021-01-28,1.510520,1.611249,1.498621,1.568909,1.568909,4973638
2021-01-29,1.596966,1.663595,1.541556,1.615260,1.615260,10859114
2021-01-30,1.615397,1.670077,1.569877,1.623476,1.623476,10700628
2021-01-31,1.623420,1.650236,1.536395,1.561187,1.561187,7997382
2021-02-01,1.560862,1.606536,1.534535,1.573244,1.573244,9566689
2021-02-02,1.573400,1.653590,1.561964,1.638906,1.638906,7690671
2021-02-03,1.638941,1.683519,1.588499,1.641090,1.641090,8895013
2021-02-04,1.641256,1.690745,1.602623,1.680371,1.680371,8291907
2021-02-05,1.680315,1.932346,1.642653,1.932293,1.932293,29308091
2021-02-06,1.932475,1.932475,1.748309,1.810032,1.810032,15200798
2021-02-07,1.810091,1.838901,1.694729,1.758406,1.758406,12861371
2021-02-08,1.758361,1.842293,1.715112,1.823321,1.823321,9990433
2021-02-09,1.822971,1.957535,1.816070,1.932084,1.932084,1697475
2021-02-10,1.931966,2.248529,1.884002,2.185478,2.185478,60135196
2021-02-11,2.185644,2.636445,1.840111,2.458879,2.458879,66686778
2021-02-12,2.459842,2.838955,2.384421,2.805180,2.805180,72833413
2021-02-13,2.805164,2.805164,2.442334,2.566053,2.566053,50177211
2021-02-14,2.566063,2.696814,2.353357,2.447166,2.447166,31546120
2021-02-15,2.447022,2.551173,2.291457,2.460435,2.460435,26753995
